"job_title","job_location","job_schedule_type","salary_year_avg","skills"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","sql"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","python"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","r"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","azure"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","databricks"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","aws"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","pandas"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","pyspark"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","jupyter"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","excel"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","tableau"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","power bi"
"Associate Director- Data Insights","Anywhere","Full-time","255829.5","powerpoint"
"Data Analyst, Marketing","Anywhere","Full-time","232423.0","sql"
"Data Analyst, Marketing","Anywhere","Full-time","232423.0","python"
"Data Analyst, Marketing","Anywhere","Full-time","232423.0","r"
"Data Analyst, Marketing","Anywhere","Full-time","232423.0","hadoop"
"Data Analyst, Marketing","Anywhere","Full-time","232423.0","tableau"
"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","sql"
"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","crystal"
"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","oracle"
"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","tableau"
"Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","flow"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","sql"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","python"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","go"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","snowflake"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","pandas"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","numpy"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","excel"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","tableau"
"Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","gitlab"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","sql"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","python"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","azure"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","aws"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","oracle"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","snowflake"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","tableau"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","power bi"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","sap"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","jenkins"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","bitbucket"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","atlassian"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","jira"
"Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","confluence"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","sql"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","python"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","r"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","git"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","bitbucket"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","atlassian"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","jira"
"Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","confluence"
"Principal Data Analyst","Anywhere","Full-time","186000.0","sql"
"Principal Data Analyst","Anywhere","Full-time","186000.0","python"
"Principal Data Analyst","Anywhere","Full-time","186000.0","go"
"Principal Data Analyst","Anywhere","Full-time","186000.0","snowflake"
"Principal Data Analyst","Anywhere","Full-time","186000.0","pandas"
"Principal Data Analyst","Anywhere","Full-time","186000.0","numpy"
"Principal Data Analyst","Anywhere","Full-time","186000.0","excel"
"Principal Data Analyst","Anywhere","Full-time","186000.0","tableau"
"Principal Data Analyst","Anywhere","Full-time","186000.0","gitlab"
"ERM Data Analyst","Anywhere","Full-time","184000.0","sql"
"ERM Data Analyst","Anywhere","Full-time","184000.0","python"
"ERM Data Analyst","Anywhere","Full-time","184000.0","r"
